date,a,b1,b2,betaN,betaV,sigmaN1,sigmaN2,sigmaV1,sigmaV2,alpha,C,file_path
2022-05-07 13:39:05.651613,0.2,0.8,0.2,0.5,0.3,4.0,5,5.0,4.0,2.6,0.01,E:\GraAcademic\age_contact_resource_allocation_seaiq\data\output_source\China_Shanghai_all_states_numbers_85_baseline_sigmaN2_inverse=5.0000.csv
2022-05-07 13:39:25.633210,0.2,0.8,0.2,0.5,0.3,4.0,6,5.0,4.0,2.6,0.01,E:\GraAcademic\age_contact_resource_allocation_seaiq\data\output_source\China_Shanghai_all_states_numbers_85_baseline_sigmaN2_inverse=6.0000.csv
2022-05-07 13:39:50.302658,0.2,0.8,0.2,0.5,0.3,4.0,3.0,3,4.0,2.6,0.01,E:\GraAcademic\age_contact_resource_allocation_seaiq\data\output_source\China_Shanghai_all_states_numbers_85_baseline_sigmaV1_inverse=3.0000.csv
2022-05-07 13:40:09.562470,0.2,0.8,0.2,0.5,0.3,4.0,3.0,4,4.0,2.6,0.01,E:\GraAcademic\age_contact_resource_allocation_seaiq\data\output_source\China_Shanghai_all_states_numbers_85_baseline_sigmaV1_inverse=4.0000.csv
2022-05-07 13:40:28.382365,0.2,0.8,0.2,0.5,0.3,4.0,3.0,5,4.0,2.6,0.01,E:\GraAcademic\age_contact_resource_allocation_seaiq\data\output_source\China_Shanghai_all_states_numbers_85_baseline_sigmaV1_inverse=5.0000.csv
2022-05-07 13:40:47.577775,0.2,0.8,0.2,0.5,0.3,4.0,3.0,6,4.0,2.6,0.01,E:\GraAcademic\age_contact_resource_allocation_seaiq\data\output_source\China_Shanghai_all_states_numbers_85_baseline_sigmaV1_inverse=6.0000.csv
2022-05-07 13:41:07.262489,0.2,0.8,0.2,0.5,0.3,4.0,3.0,7,4.0,2.6,0.01,E:\GraAcademic\age_contact_resource_allocation_seaiq\data\output_source\China_Shanghai_all_states_numbers_85_baseline_sigmaV1_inverse=7.0000.csv
2022-05-07 13:52:20.287004,0.2,0.8,0.2,0.5,0.3,4.0,3.0,5.0,3,2.6,0.01,E:\GraAcademic\age_contact_resource_allocation_seaiq\data\output_source\China_Shanghai_all_states_numbers_85_baseline_sigmaV2_inverse=3.0000.csv
2022-05-07 13:52:39.306133,0.2,0.8,0.2,0.5,0.3,4.0,3.0,5.0,4,2.6,0.01,E:\GraAcademic\age_contact_resource_allocation_seaiq\data\output_source\China_Shanghai_all_states_numbers_85_baseline_sigmaV2_inverse=4.0000.csv
2022-05-07 13:52:58.708562,0.2,0.8,0.2,0.5,0.3,4.0,3.0,5.0,5,2.6,0.01,E:\GraAcademic\age_contact_resource_allocation_seaiq\data\output_source\China_Shanghai_all_states_numbers_85_baseline_sigmaV2_inverse=5.0000.csv
